FamilyID	AspNid<1>	SacCer<2>	ConCor<3>	gzPodHuml1<4>	gzMorAlpi1<5>	gzLinHyal1<6>	ggMorZona1<7>	gzUmbRama1<8>	gzUmbVina1<9>	gzUmbIsab1<10>	gzRhiMicr1<11>	gzRhiStol1<12>	ggRhiOryz1<13>	gzMucHiem1<14>	ggMucLanc1<15>	gzMucPlum2<16>	gzMucCirc1<17>	gzMucCirc2<18>	gzMucFrag1<19>	gzLicCory1<20>	gzAbsCyli1<21>	gzAbsGlau1<22>	gzCunEchi1<23>	gzCunBlak1<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>
N0.HOG0000007	0.440916	0.787782	0.784209	0.578669	0.562907	0.512902	0.512902	0.700996	0.700996	0.736492	0.14303	0.243965	0.112092	0.298384	0.250827	0.697541	0.557068	0.557068	0.0861818	0.00144434	0.0631799	0.797078	0.678244	0.678244	N/A	0.560062	0.57261	0.57278	0.302503	0.519248	0.551951	0.000254863	0.773572	0.581809	0.000686351	0.146491	0.706354	0.0872598	0.68196	0.624996	0.701862	0.597444	0.598103	0.587436	0.718381	0.0343946	0.00241697
N0.HOG0000010	0.284841	0.698187	0.694496	0.5	0.5	0.5	0.5	0.555203	0.0819981	0.104442	0.5	0.5	0.5	0.109824	0.0894269	0.531074	0.5	0.5	0.5	0.614844	0.5	0.5	0.5	0.5	N/A	0.531504	0.538499	0.538595	0.177666	0.5	0.5	0.550376	0.590369	0.518227	0.530316	0.537349	0.0494674	0.5	0.527603	0.516883	0.532088	0.0187607	0.5	0.512415	0.0602368	0.5	0.5
N0.HOG0000013	0.698187	0.698187	0.694496	0.5	0.5	0.5	0.5	0.555203	0.555203	0.570521	0.704849	0.132373	0.132373	0.71474	0.122081	0.608239	0.533007	0.533007	0.570659	0.00802689	0.645993	0.0888094	0.184473	0.621815	N/A	0.531504	0.538499	0.538595	0.177666	0.5	0.5	0.550376	0.590369	0.518227	0.000473552	0.0569134	0.614476	0.0392983	0.597631	0.562616	0.611275	0.547396	0.0254033	0.535884	0.607452	0.585433	0.613457
N0.HOG0000020	0.0368367	0.0368367	0.242852	0.286598	0.780902	0.580583	0.580583	0.745029	0.745029	0.780169	0.214235	0.107189	0.107189	0.828264	0.802323	0.711118	0.562782	0.562782	0.650341	0.195363	0.122088	0.122088	0.488416	0.800518	N/A	0.199807	0.0220814	0.133582	0.86154	0.62669	0.401943	0.193789	0.199495	0.608751	0.0396402	0.749151	0.0632351	0.0027881	0.324241	0.635723	0.715517	0.606389	0.607095	0.614116	0.0860689	0.00959049	0.789854
N0.HOG0000026	0.440916	0.0480535	0.000178605	0.578669	0.562907	0.512902	0.512902	0.640321	0.640321	0.108535	0.704849	0.00334618	0.694915	0.332138	0.284211	0.608239	0.526676	0.526676	0.570659	0.0712908	0.751906	0.196074	0.651999	0.651999	N/A	0.129751	0.602887	0.603114	0.0333725	0.519248	0.551951	0.629917	0.706838	0.551769	0.0460779	0.626568	0.614476	0.0392983	0.597631	0.562616	0.611275	0.547396	0.547749	0.0249645	0.659802	0.0150285	0.257464
N0.HOG0000028	1.13748e-09	0.859688	0.784209	0.116321	0.0933032	0.512902	0.0193106	0.0819981	0.555203	0.570521	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.614844	0.557901	0.557901	0.5	0.5	N/A	0.0479051	0.155507	0.10923	0.621246	0.519248	0.551951	0.550376	0.590369	0.518227	0.530316	0.055661	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.512415	0.540442	0.531282	0.0640698
N0.HOG0000031	0.0590537	0.0154076	5.46162e-12	0.5	0.5	0.5	0.5	0.000127902	0.000356393	0.369712	0.545799	0.263187	0.796517	0.10669	1.0758e-05	0.164657	0.562782	0.562782	0.0253598	0.0439405	0.818112	0.521988	0.83617	4.13955e-06	N/A	0.0106694	0.0394323	0.727309	7.88071e-09	0.5	0.5	0.0131102	0.415978	0.674358	0.731624	0.41523	0.732615	0.662731	0.707395	0.64594	0.728022	0.615013	0.176983	0.622385	0.224948	0.390961	0.000329485
N0.HOG0000032	0.698187	0.284841	9.38634e-35	0.5	0.5	0.5	0.5	0.5	0.5	0.00266478	0.569364	0.0785333	0.552847	0.00296125	0.5	0.5	0.5	0.5	0.5	0.614844	0.0297345	0.557901	0.54672	0.54672	N/A	0.531504	0.538499	0.538595	0.177666	0.5	0.5	0.550376	0.590369	0.027256	0.530316	0.537349	0.533168	0.519498	0.527603	0.0252513	0.5	0.5	0.5	0.512415	0.540442	0.531282	0.543036
N0.HOG0000036	0.440916	0.0480535	0.0032057	0.0383525	0.260184	0.59042	0.137424	0.468941	0.790729	0.00860207	0.0417386	0.359449	0.0121269	0.865395	0.0301834	0.437598	0.00958052	0.604561	0.722921	0.0191379	0.131909	0.131909	0.470016	0.470016	N/A	0.129751	0.0586892	3.71099e-05	0.400599	0.63883	0.429352	0.00985288	0.858585	0.238561	0.00582863	0.238473	0.773115	0.043489	0.748101	0.682237	0.221729	0.0228341	0.668366	0.638059	0.790792	0.0114743	0.130249
N0.HOG0000043	0.787782	0.0480535	0.0458802	0.639289	0.614203	0.525306	0.525306	0.700996	0.700996	0.736492	0.808299	0.112092	0.243965	0.272903	0.438975	0.68273	0.545284	0.545284	0.626715	0.0223447	0.0824942	0.302588	0.0362352	0.754229	N/A	0.560062	0.57261	0.57278	0.700357	0.537392	0.595952	0.000254863	0.773572	0.581809	0.000686351	0.707356	0.130768	0.0872598	0.667682	0.613729	0.686928	0.588164	0.134882	0.0497211	0.175606	0.0495597	0.407435
