FamilyID	AspNid<1>	SacCer<2>	ConCor<3>	gzPodHuml1<4>	gzMorAlpi1<5>	gzLinHyal1<6>	ggMorZona1<7>	gzUmbRama1<8>	gzUmbVina1<9>	gzUmbIsab1<10>	gzRhiMicr1<11>	gzRhiStol1<12>	ggRhiOryz1<13>	gzMucHiem1<14>	ggMucLanc1<15>	gzMucPlum2<16>	gzMucCirc1<17>	gzMucCirc2<18>	gzMucFrag1<19>	gzLicCory1<20>	gzAbsCyli1<21>	gzAbsGlau1<22>	gzCunEchi1<23>	gzCunBlak1<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>
N0.HOG0000000	-1	0	-2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0
N0.HOG0000001	0	-1	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1
N0.HOG0000003	-2	-2	0	0	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
N0.HOG0000004	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
N0.HOG0000007	-1	0	0	0	0	0	0	0	0	0	-2	1	2	1	1	0	0	0	1	6	2	0	0	0	0	0	0	0	-1	0	0	3	0	0	3	1	0	1	0	0	0	0	0	0	0	2	-3
N0.HOG0000008	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0
N0.HOG0000010	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0
N0.HOG0000012	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	-1	0
N0.HOG0000013	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	3	0	1	-1	0	0	0	0	0	-1	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0
N0.HOG0000014	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000015	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000017	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
N0.HOG0000018	-1	0	-1	-1	0	0	0	0	1	0	-1	2	0	1	0	0	0	0	0	-1	1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0
N0.HOG0000019	-2	-1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
N0.HOG0000020	-3	-3	2	1	0	0	0	0	0	0	-2	2	2	0	0	0	0	0	0	2	2	2	-1	0	0	-1	2	1	0	0	-1	1	-2	0	2	0	2	3	-1	0	0	0	0	0	2	3	0
N0.HOG0000021	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1
N0.HOG0000022	-1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000025	-3	-1	3	0	0	0	0	0	0	0	0	2	0	0	-1	0	0	0	-1	1	1	1	0	0	0	0	0	0	-1	0	-1	0	-1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
N0.HOG0000026	-1	-2	7	0	0	0	0	0	0	1	0	3	0	-1	-1	0	0	0	0	2	0	1	0	0	0	-1	0	0	-2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	-1
N0.HOG0000028	17	0	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1
N0.HOG0000029	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000031	-3	-4	25	0	0	0	0	6	-5	1	-1	1	0	2	-6	1	0	0	2	4	0	-1	0	8	0	-2	2	0	-9	0	0	3	1	0	0	-1	0	0	0	0	0	0	-1	0	1	-1	5
N0.HOG0000032	0	-1	51	0	0	0	0	0	0	2	0	-1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0
N0.HOG0000035	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0
N0.HOG0000036	-1	-2	-4	3	1	0	-1	-1	0	4	-3	1	4	0	-3	-1	2	0	0	5	2	2	-1	-1	0	-1	1	4	1	0	-1	3	0	-1	3	1	0	2	0	0	1	2	0	0	0	3	-2
N0.HOG0000039	3	-1	2	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0
N0.HOG0000040	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	-1	0	0	0
N0.HOG0000041	1	0	-1	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0
N0.HOG0000043	0	-2	-2	0	0	0	0	0	0	0	0	2	1	1	-1	0	0	0	0	4	2	1	-2	0	0	0	0	0	0	0	0	3	0	0	3	0	1	1	0	0	0	0	-1	1	1	2	-1
N0.HOG0000044	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0
N0.HOG0000045	2	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	-2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
N0.HOG0000047	0	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000048	0	-1	-1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	-1	4	0	3	0	0	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000049	6	-6	16	3	-3	0	2	2	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	2	0	1	-3	1	0	-5	-1	0	0	0	0	0	0	0	0	-1	0	0
N0.HOG0000050	-1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	0	0	0	0	0	1	0
N0.HOG0000052	-1	-2	3	0	0	0	0	0	0	0	0	0	1	0	-1	-1	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
N0.HOG0000053	0	-1	0	0	0	0	0	0	0	0	-2	1	0	0	0	0	0	0	0	1	1	1	-2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	-1	1	1	3	-1
N0.HOG0000057	-2	0	-2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-2
N0.HOG0000058	-1	1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000059	-1	-2	2	0	0	0	0	0	-1	0	1	0	2	1	-1	1	0	0	1	-1	0	1	0	0	0	0	0	0	-1	0	0	2	0	0	0	2	1	0	0	0	1	0	0	0	0	1	-1
N0.HOG0000060	-1	1	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	1	1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
N0.HOG0000061	-2	-2	-1	1	0	0	0	0	0	0	-3	0	2	0	2	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	-1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0
N0.HOG0000062	4	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0
N0.HOG0000065	-1	-2	-2	0	-1	0	0	0	2	0	-1	0	0	1	0	0	0	0	0	-2	2	0	0	0	0	0	0	2	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	-1
N0.HOG0000066	0	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
N0.HOG0000068	-3	-2	6	3	0	0	0	0	0	0	-1	2	1	2	-2	0	0	0	0	3	2	0	0	-1	0	-1	2	0	0	0	0	1	-2	0	2	0	0	1	0	0	0	0	0	0	0	1	-1
N0.HOG0000069	0	-3	-3	-1	2	0	1	0	0	0	-2	-1	0	6	-2	0	0	0	1	1	2	0	0	0	0	0	0	3	3	1	1	0	-1	0	2	0	0	0	1	0	0	0	-1	0	1	0	1
N0.HOG0000070	-2	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N0.HOG0000071	-1	0	-1	1	0	0	0	0	1	0	-1	1	0	-1	-1	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	2	0	0	3	1	0	1	0	0	0	0	0	0	1	2	-1
N0.HOG0000072	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000073	-2	-3	9	0	0	2	-1	0	-1	1	0	1	1	0	-1	0	0	0	0	2	1	0	0	0	0	-1	1	0	-2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	-1	0	-2
N0.HOG0000074	0	4	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
N0.HOG0000075	-1	-2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
N0.HOG0000076	-2	0	-2	0	-1	0	0	0	0	0	0	0	4	-1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	-2	0	3	2	0	0	0	0	0	0	0	0	0	2	-1
N0.HOG0000077	2	-5	-5	2	0	1	0	0	0	0	0	-2	0	2	-2	0	0	0	0	3	-1	4	0	0	0	0	0	1	12	0	1	0	-3	0	0	-1	0	0	0	0	0	0	-1	1	1	0	1
N0.HOG0000078	-1	-3	13	0	0	1	0	1	-1	0	-1	0	1	0	0	0	1	0	0	8	1	0	0	0	0	-1	0	0	1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1
N0.HOG0000080	2	-1	-1	0	0	0	0	0	2	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	-1
N0.HOG0000081	7	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000084	0	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	14	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000085	4	-1	-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000086	0	-1	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
