#Taxon_ID	Increase	Decrease
<30>	15	62
<31>	109	137
<29>	480	929
<43>	32	34
gzPodHuml1<4>	302	264
gzMucPlum2<16>	96	82
<27>	7	23
ConCor<3>	351	2189
<28>	158	91
AspNid<1>	454	872
SacCer<2>	249	2108
gzMorAlpi1<5>	219	213
<26>	6	15
gzLinHyal1<6>	107	44
ggMorZona1<7>	92	56
<40>	35	55
gzLicCory1<20>	768	446
gzMucCirc2<18>	107	45
gzRhiStol1<12>	483	213
ggRhiOryz1<13>	741	124
<39>	164	80
gzMucHiem1<14>	348	254
gzUmbRama1<8>	138	197
gzUmbVina1<9>	145	232
gzMucCirc1<17>	123	49
<32>	290	244
gzRhiMicr1<11>	148	543
<33>	164	461
<38>	606	54
ggMucLanc1<15>	191	364
<41>	113	37
<45>	177	136
<44>	55	83
<42>	59	34
<36>	219	190
gzUmbIsab1<10>	151	269
<35>	470	368
<37>	70	201
<34>	25	60
gzAbsGlau1<22>	484	128
gzCunBlak1<24>	104	153
gzMucFrag1<19>	111	82
<47>	29	405
<46>	926	85
gzAbsCyli1<21>	1003	76
gzCunEchi1<23>	163	144
