FamilyID	AspNid<1>	SacCer<2>	ConCor<3>	gzPodHuml1<4>	gzMorAlpi1<5>	gzLinHyal1<6>	ggMorZona1<7>	gzUmbRama1<8>	gzUmbVina1<9>	gzUmbIsab1<10>	gzRhiMicr1<11>	gzRhiStol1<12>	ggRhiOryz1<13>	gzMucHiem1<14>	ggMucLanc1<15>	gzMucPlum2<16>	gzMucCirc1<17>	gzMucCirc2<18>	gzMucFrag1<19>	gzLicCory1<20>	gzAbsCyli1<21>	gzAbsGlau1<22>	gzCunEchi1<23>	gzCunBlak1<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>
N0.HOG0000000	1	2	0	2	2	2	2	3	3	3	4	5	7	4	4	4	4	4	4	2	6	7	3	3	2	2	2	2	2	2	2	3	3	3	3	4	4	5	4	4	4	4	4	3	3	6	3
N0.HOG0000001	1	0	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0
N0.HOG0000003	1	1	3	2	2	2	2	4	5	4	3	4	5	4	5	5	5	5	4	3	5	6	4	4	3	3	3	3	2	2	2	4	4	4	4	4	4	4	4	5	5	5	5	4	4	5	4
N0.HOG0000004	0	2	0	0	0	0	0	0	0	0	1	2	2	1	0	1	1	1	0	0	1	2	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1
N0.HOG0000007	1	2	2	1	1	1	1	5	5	5	7	11	12	10	10	9	9	9	10	14	12	10	5	5	2	2	2	2	1	1	1	5	5	5	8	9	9	10	9	9	9	9	9	8	8	10	5
N0.HOG0000008	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	2	2	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	2	1
N0.HOG0000010	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0
N0.HOG0000012	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1
N0.HOG0000013	1	1	1	0	0	0	0	1	1	1	4	6	6	4	5	4	5	5	4	6	3	4	2	3	1	1	1	1	0	0	0	1	1	1	3	4	4	5	4	4	4	4	5	3	3	3	3
N0.HOG0000014	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
