#FamilyID	Likelihood of Family
N0.HOG0000000	-38.8375
N0.HOG0000001	-33.971
N0.HOG0000003	-36.5052
N0.HOG0000004	-31.921
N0.HOG0000007	-62.436
N0.HOG0000008	-28.4556
N0.HOG0000010	-32.6035
N0.HOG0000012	-27.2948
N0.HOG0000013	-40.0506
N0.HOG0000014	-10.7942
N0.HOG0000015	-12.829
N0.HOG0000017	-25.5923
N0.HOG0000018	-40.7418
N0.HOG0000019	-33.7512
N0.HOG0000020	-69.3063
N0.HOG0000021	-27.6914
N0.HOG0000022	-25.9937
N0.HOG0000025	-44.1433
N0.HOG0000026	-55.044
N0.HOG0000028	-53.8513
N0.HOG0000029	-15.0424
N0.HOG0000031	-141.087
N0.HOG0000032	-112.264
N0.HOG0000035	-25.3949
N0.HOG0000036	-103.872
N0.HOG0000039	-33.2272
N0.HOG0000040	-31.2243
N0.HOG0000041	-29.6853
N0.HOG0000043	-62.5331
N0.HOG0000044	-21.1136
N0.HOG0000045	-38.7622
N0.HOG0000047	-23.9543
N0.HOG0000048	-44.0925
N0.HOG0000049	-79.7195
N0.HOG0000050	-29.8569
N0.HOG0000052	-40.2655
N0.HOG0000053	-51.1452
N0.HOG0000057	-34.0378
N0.HOG0000058	-24.8754
N0.HOG0000059	-49.9133
N0.HOG0000060	-33.4758
N0.HOG0000061	-54.2339
N0.HOG0000062	-26.2522
N0.HOG0000065	-53.5974
N0.HOG0000066	-29.0428
N0.HOG0000068	-64.3278
N0.HOG0000069	-72.9399
N0.HOG0000070	-29.1278
N0.HOG0000071	-49.5505
N0.HOG0000072	-23.5488
N0.HOG0000073	-67.7193
N0.HOG0000074	-23.2182
N0.HOG0000075	-28.9674
N0.HOG0000076	-55.269
N0.HOG0000077	-87.3596
N0.HOG0000078	-70.8037
N0.HOG0000080	-37.2939
N0.HOG0000081	-25.4102
N0.HOG0000084	-82.9089
N0.HOG0000085	-28.1822
N0.HOG0000086	-20.2563
N0.HOG0000089	-25.0082
N0.HOG0000090	-44.1565
N0.HOG0000091	-25.5782
N0.HOG0000092	-96.2948
N0.HOG0000093	-37.6063
N0.HOG0000094	-137.797
N0.HOG0000096	-29.8385
N0.HOG0000097	-117.206
N0.HOG0000098	-88.846
N0.HOG0000101	-48.448
N0.HOG0000102	-31.9376
N0.HOG0000103	-32.9053
N0.HOG0000104	-36.4504
N0.HOG0000106	-10.7942
N0.HOG0000107	-112.283
N0.HOG0000108	-49.3994
N0.HOG0000111	-29.988
N0.HOG0000113	-43.5198
N0.HOG0000114	-21.1762
N0.HOG0000115	-17.7935
N0.HOG0000116	-57.4289
N0.HOG0000117	-29.7373
N0.HOG0000118	-48.2519
N0.HOG0000119	-101.396
N0.HOG0000120	-46.4694
N0.HOG0000121	-24.3878
N0.HOG0000122	-51.1026
N0.HOG0000125	-51.6805
N0.HOG0000126	-30.79
N0.HOG0000128	-21.4023
N0.HOG0000129	-30.5657
N0.HOG0000130	-39.8534
N0.HOG0000131	-31.3952
N0.HOG0000133	-47.5231
N0.HOG0000134	-54.9996
N0.HOG0000135	-46.4793
N0.HOG0000136	-20.0924
N0.HOG0000137	-79.6179
N0.HOG0000138	-89.7367
N0.HOG0000140	-39.3408
N0.HOG0000141	-22.7038
N0.HOG0000143	-64.6955
N0.HOG0000144	-63.861
N0.HOG0000146	-59.8561
N0.HOG0000149	-52.1062
N0.HOG0000150	-36.0524
N0.HOG0000152	-21.7374
N0.HOG0000153	-42.0672
N0.HOG0000157	-75.9195
N0.HOG0000158	-24.4057
N0.HOG0000159	-21.5735
N0.HOG0000161	-40.0107
N0.HOG0000162	-40.521
N0.HOG0000163	-44.3611
N0.HOG0000164	-52.857
N0.HOG0000166	-26.3831
N0.HOG0000167	-53.3389
N0.HOG0000168	-41.1858
N0.HOG0000169	-32.9226
N0.HOG0000170	-66.7855
N0.HOG0000172	-52.093
N0.HOG0000173	-40.975
N0.HOG0000175	-47.9861
N0.HOG0000176	-50.5121
N0.HOG0000177	-48.2196
N0.HOG0000179	-38.5809
N0.HOG0000180	-63.6721
N0.HOG0000182	-48.799
N0.HOG0000184	-16.9687
N0.HOG0000185	-28.2914
N0.HOG0000188	-49.7018
N0.HOG0000190	-54.5674
N0.HOG0000192	-43.4563
N0.HOG0000193	-49.5371
N0.HOG0000196	-46.9107
N0.HOG0000197	-53.3004
N0.HOG0000198	-43.6311
N0.HOG0000199	-22.9047
N0.HOG0000200	-11.2579
N0.HOG0000201	-10.7942
N0.HOG0000203	-52.9482
N0.HOG0000204	-42.9952
N0.HOG0000205	-18.2451
N0.HOG0000206	-32.0327
N0.HOG0000209	-28.7613
N0.HOG0000210	-23.69
N0.HOG0000211	-30.3695
N0.HOG0000212	-58.1141
N0.HOG0000213	-39.5515
N0.HOG0000214	-38.8035
N0.HOG0000215	-49.1588
N0.HOG0000217	-44.6749
N0.HOG0000218	-44.1674
N0.HOG0000219	-36.8817
N0.HOG0000220	-25.7759
N0.HOG0000221	-45.5113
N0.HOG0000222	-30.4405
N0.HOG0000223	-42.9147
N0.HOG0000224	-22.7572
N0.HOG0000225	-18.6889
N0.HOG0000226	-23.8756
N0.HOG0000227	-38.3097
N0.HOG0000228	-30.3924
N0.HOG0000229	-33.1776
N0.HOG0000230	-39.3491
N0.HOG0000231	-34.7219
N0.HOG0000232	-60.675
N0.HOG0000233	-170.058
N0.HOG0000234	-44.645
N0.HOG0000235	-42.2253
N0.HOG0000236	-45.6647
N0.HOG0000237	-37.5336
N0.HOG0000238	-28.8336
N0.HOG0000240	-99.0132
N0.HOG0000241	-32.2088
N0.HOG0000242	-32.954
N0.HOG0000244	-15.0424
N0.HOG0000245	-20.2563
N0.HOG0000250	-15.4615
N0.HOG0000251	-291.277
N0.HOG0000254	-21.4015
N0.HOG0000255	-30.607
N0.HOG0000256	-53.3903
N0.HOG0000257	-42.7554
N0.HOG0000258	-36.2184
N0.HOG0000259	-49.6788
N0.HOG0000261	-41.3997
N0.HOG0000262	-50.2726
N0.HOG0000265	-24.902
N0.HOG0000266	-55.7061
N0.HOG0000267	-27.517
N0.HOG0000268	-22.4479
N0.HOG0000269	-44.7053
N0.HOG0000270	-36.6844
N0.HOG0000271	-12.9682
N0.HOG0000272	-14.0285
N0.HOG0000274	-39.4444
N0.HOG0000275	-27.0349
N0.HOG0000276	-29.0958
N0.HOG0000277	-14.2746
N0.HOG0000278	-12.3109
N0.HOG0000279	-39.8776
N0.HOG0000280	-29.9487
N0.HOG0000281	-16.1456
N0.HOG0000282	-11.5174
N0.HOG0000283	-38.3942
N0.HOG0000284	-43.9846
N0.HOG0000287	-43.5001
N0.HOG0000288	-17.534
N0.HOG0000289	-41.3108
N0.HOG0000290	-17.8086
N0.HOG0000291	-30.2778
N0.HOG0000292	-54.5916
N0.HOG0000293	-41.0089
N0.HOG0000297	-33.0677
N0.HOG0000299	-40.8067
N0.HOG0000300	-17.0686
N0.HOG0000301	-40.2526
N0.HOG0000302	-76.1791
N0.HOG0000303	-39.2943
N0.HOG0000305	-63.3996
N0.HOG0000306	-45.4199
N0.HOG0000307	-45.1273
N0.HOG0000308	-66.647
N0.HOG0000310	-12.9807
N0.HOG0000311	-74.6948
N0.HOG0000312	-38.2289
N0.HOG0000313	-47.3308
N0.HOG0000315	-40.194
N0.HOG0000316	-77.1252
N0.HOG0000320	-35.0371
N0.HOG0000321	-39.0077
N0.HOG0000323	-27.6718
N0.HOG0000325	-47.7165
N0.HOG0000326	-24.9586
N0.HOG0000327	-35.5067
N0.HOG0000328	-36.455
N0.HOG0000329	-43.388
N0.HOG0000330	-45.7128
N0.HOG0000333	-34.2601
N0.HOG0000334	-21.4468
N0.HOG0000335	-29.4041
N0.HOG0000336	-43.6563
N0.HOG0000339	-29.0088
N0.HOG0000340	-43.7641
N0.HOG0000341	-49.7431
N0.HOG0000342	-48.8034
N0.HOG0000343	-33.3773
N0.HOG0000344	-19.8966
N0.HOG0000345	-32.6304
N0.HOG0000346	-36.8327
N0.HOG0000347	-41.5146
N0.HOG0000348	-46.5124
N0.HOG0000349	-32.5779
N0.HOG0000350	-33.6523
N0.HOG0000351	-35.8495
N0.HOG0000352	-15.808
N0.HOG0000353	-37.6895
N0.HOG0000355	-23.5267
N0.HOG0000356	-30.3204
N0.HOG0000357	-17.8566
N0.HOG0000358	-34.8411
N0.HOG0000359	-25.8586
N0.HOG0000360	-20.5098
N0.HOG0000361	-37.8014
N0.HOG0000362	-41.8019
N0.HOG0000363	-9.79554
N0.HOG0000364	-26.6962
N0.HOG0000366	-32.5405
N0.HOG0000367	-27.9334
N0.HOG0000368	-63.1221
N0.HOG0000369	-20.7075
N0.HOG0000371	-24.902
N0.HOG0000373	-40.3703
N0.HOG0000374	-24.5172
N0.HOG0000375	-31.0086
N0.HOG0000376	-40.6835
N0.HOG0000377	-32.7806
N0.HOG0000378	-42.0627
N0.HOG0000380	-25.9478
N0.HOG0000382	-38.7519
N0.HOG0000383	-34.1249
N0.HOG0000385	-22.9279
N0.HOG0000386	-34.866
N0.HOG0000387	-33.8796
N0.HOG0000388	-21.6438
N0.HOG0000389	-24.0889
N0.HOG0000390	-39.1749
N0.HOG0000391	-38.2333
N0.HOG0000392	-33.3865
N0.HOG0000393	-43.3049
N0.HOG0000397	-60.4697
N0.HOG0000398	-29.6388
N0.HOG0000399	-35.4206
N0.HOG0000400	-36.5511
N0.HOG0000405	-10.7942
N0.HOG0000406	-25.7447
N0.HOG0000407	-27.5843
N0.HOG0000408	-28.2557
N0.HOG0000409	-21.872
N0.HOG0000412	-24.0095
N0.HOG0000413	-25.0082
N0.HOG0000414	-28.5016
N0.HOG0000416	-44.2845
N0.HOG0000417	-38.9194
N0.HOG0000418	-78.6415
N0.HOG0000419	-36.6571
N0.HOG0000420	-38.7104
N0.HOG0000421	-40.8885
N0.HOG0000422	-33.76
N0.HOG0000423	-58.3199
N0.HOG0000424	-36.7212
N0.HOG0000425	-44.6868
N0.HOG0000426	-68.0585
N0.HOG0000427	-36.8087
N0.HOG0000429	-36.6244
N0.HOG0000430	-44.1356
N0.HOG0000431	-15.4615
N0.HOG0000432	-45.2059
N0.HOG0000433	-38.3814
N0.HOG0000434	-34.8195
N0.HOG0000436	-30.9602
N0.HOG0000437	-45.6687
N0.HOG0000438	-35.165
N0.HOG0000439	-22.5248
N0.HOG0000440	-39.9582
N0.HOG0000441	-40.6278
N0.HOG0000442	-35.9211
N0.HOG0000444	-37.8351
N0.HOG0000445	-33.42
N0.HOG0000446	-36.8786
N0.HOG0000447	-33.1867
N0.HOG0000448	-36.8698
N0.HOG0000449	-38.3328
N0.HOG0000450	-41.6741
N0.HOG0000455	-26.5726
N0.HOG0000456	-56.8914
N0.HOG0000457	-32.1644
N0.HOG0000458	-51.6505
N0.HOG0000459	-26.0097
N0.HOG0000460	-30.6675
N0.HOG0000461	-27.9833
N0.HOG0000462	-53.5573
N0.HOG0000463	-23.4658
N0.HOG0000464	-18.115
N0.HOG0000465	-34.0041
N0.HOG0000467	-27.8249
N0.HOG0000468	-24.2708
N0.HOG0000469	-39.8433
N0.HOG0000470	-30.5926
N0.HOG0000471	-35.6123
N0.HOG0000472	-43.7859
N0.HOG0000473	-21.7374
N0.HOG0000474	-30.1163
N0.HOG0000476	-28.2505
N0.HOG0000477	-17.8549
N0.HOG0000478	-16.3917
N0.HOG0000479	-10.5187
N0.HOG0000480	-24.3042
N0.HOG0000481	-26.2236
N0.HOG0000482	-39.2556
N0.HOG0000483	-79.2236
N0.HOG0000484	-34.2168
N0.HOG0000485	-37.3194
N0.HOG0000486	-35.1091
N0.HOG0000487	-32.6457
N0.HOG0000488	-30.9645
N0.HOG0000489	-10.5187
N0.HOG0000490	-23.7598
N0.HOG0000493	-20.089
N0.HOG0000494	-29.1712
N0.HOG0000495	-44.129
N0.HOG0000496	-28.5016
N0.HOG0000500	-17.8765
N0.HOG0000501	-38.9807
N0.HOG0000502	-31.0857
N0.HOG0000503	-23.2549
N0.HOG0000504	-46.612
N0.HOG0000505	-35.1306
N0.HOG0000506	-31.4852
N0.HOG0000508	-51.4884
N0.HOG0000511	-33.2483
N0.HOG0000517	-32.3675
N0.HOG0000518	-38.4472
N0.HOG0000519	-31.4337
N0.HOG0000520	-42.9515
N0.HOG0000521	-31.2952
N0.HOG0000522	-34.0288
N0.HOG0000523	-33.6536
N0.HOG0000524	-21.1521
N0.HOG0000525	-38.8753
N0.HOG0000526	-35.5705
N0.HOG0000527	-41.8551
N0.HOG0000528	-31.9352
N0.HOG0000532	-12.3109
N0.HOG0000533	-25.3915
N0.HOG0000534	-31.8702
N0.HOG0000535	-43.2986
N0.HOG0000536	-36.8438
N0.HOG0000537	-37.9462
N0.HOG0000538	-42.5937
N0.HOG0000539	-37.6387
