#FamilyID	pvalue	Significant at 0.05
N0.HOG0000000	0.113	n
N0.HOG0000001	0.064	n
N0.HOG0000003	0.379	n
N0.HOG0000004	0.169	n
N0.HOG0000007	0.001	y
N0.HOG0000008	0.248	n
N0.HOG0000010	0.042	y
N0.HOG0000012	0.379	n
N0.HOG0000013	0.034	y
N0.HOG0000014	0.951	n
N0.HOG0000015	0.999	n
N0.HOG0000017	0.492	n
N0.HOG0000018	0.061	n
N0.HOG0000019	0.329	n
N0.HOG0000020	0	y
N0.HOG0000021	0.287	n
N0.HOG0000022	0.6	n
N0.HOG0000025	0.075	n
N0.HOG0000026	0.002	y
N0.HOG0000028	0.01	y
N0.HOG0000029	0.808	n
N0.HOG0000031	0	y
N0.HOG0000032	0	y
N0.HOG0000035	0.221	n
N0.HOG0000036	0	y
N0.HOG0000039	0.601	n
N0.HOG0000040	0.184	n
N0.HOG0000041	0.603	n
N0.HOG0000043	0.001	y
N0.HOG0000044	0.722	n
N0.HOG0000045	0.249	n
N0.HOG0000047	0.295	n
N0.HOG0000048	0.007	y
N0.HOG0000049	0	y
N0.HOG0000050	0.646	n
N0.HOG0000052	0.103	n
N0.HOG0000053	0.004	y
N0.HOG0000057	0.605	n
N0.HOG0000058	0.568	n
N0.HOG0000059	0.007	y
N0.HOG0000060	0.367	n
N0.HOG0000061	0.004	y
N0.HOG0000062	0.934	n
N0.HOG0000065	0.003	y
N0.HOG0000066	0.368	n
N0.HOG0000068	0	y
N0.HOG0000069	0	y
N0.HOG0000070	0.59	n
N0.HOG0000071	0.01	y
N0.HOG0000072	0.678	n
N0.HOG0000073	0	y
N0.HOG0000074	0.959	n
N0.HOG0000075	0.584	n
N0.HOG0000076	0.002	y
N0.HOG0000077	0	y
N0.HOG0000078	0	y
N0.HOG0000080	0.087	n
N0.HOG0000081	0.901	n
N0.HOG0000084	0	y
N0.HOG0000085	0.636	n
N0.HOG0000086	0.506	n
N0.HOG0000089	0.239	n
N0.HOG0000090	0.048	y
N0.HOG0000091	0.216	n
N0.HOG0000092	0	y
N0.HOG0000093	0.023	y
N0.HOG0000094	0	y
N0.HOG0000096	0.613	n
N0.HOG0000097	0	y
N0.HOG0000098	0	y
N0.HOG0000101	0.006	y
N0.HOG0000102	0.291	n
N0.HOG0000103	0.392	n
N0.HOG0000104	0.35	n
N0.HOG0000106	0.951	n
N0.HOG0000107	0	y
N0.HOG0000108	0.004	y
N0.HOG0000111	0.567	n
N0.HOG0000113	0.032	y
N0.HOG0000114	0.457	n
N0.HOG0000115	0.667	n
N0.HOG0000116	0.002	y
N0.HOG0000117	0.678	n
N0.HOG0000118	0.01	y
N0.HOG0000119	0	y
N0.HOG0000120	0.005	y
N0.HOG0000121	0.613	n
N0.HOG0000122	0.006	y
N0.HOG0000125	0.004	y
