Desc	Family ID	AspNid	ConCor	SacCer	ggMorZona1	ggMucLanc1	ggRhiOryz1	gzAbsCyli1	gzAbsGlau1	gzCunBlak1	gzCunEchi1	gzLicCory1	gzLinHyal1	gzMorAlpi1	gzMucCirc1	gzMucCirc2	gzMucFrag1	gzMucHiem1	gzMucPlum2	gzPodHuml1	gzRhiMicr1	gzRhiStol1	gzUmbIsab1	gzUmbRama1	gzUmbVina1
(null)	N0.HOG0000000	1	0	2	2	4	7	6	7	3	3	2	2	2	4	4	4	4	4	2	4	5	3	3	3
(null)	N0.HOG0000001	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
(null)	N0.HOG0000002	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000003	1	3	1	2	5	5	5	6	4	4	3	2	2	5	5	4	4	5	2	3	4	4	4	5
(null)	N0.HOG0000004	0	0	2	0	0	2	1	2	1	1	0	0	0	1	1	0	1	1	0	1	2	0	0	0
(null)	N0.HOG0000005	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000006	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0
(null)	N0.HOG0000007	1	2	2	1	10	12	12	10	5	5	14	1	1	9	9	10	10	9	1	7	11	5	5	5
(null)	N0.HOG0000008	1	0	0	0	1	0	2	2	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1
(null)	N0.HOG0000009	0	4	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
(null)	N0.HOG0000010	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
(null)	N0.HOG0000011	0	4	0	2	1	0	0	0	0	0	0	2	4	0	0	0	1	0	2	0	0	0	0	0
(null)	N0.HOG0000012	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
(null)	N0.HOG0000013	1	1	1	0	5	6	3	4	3	2	6	0	0	5	5	4	4	4	0	4	6	1	1	1
(null)	N0.HOG0000014	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000015	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000016	0	15	0	1	3	3	4	3	2	2	5	1	0	3	3	2	3	3	0	2	2	4	2	3
(null)	N0.HOG0000017	1	0	0	1	1	2	3	3	2	2	2	1	1	1	1	1	0	1	1	1	2	1	1	1
(null)	N0.HOG0000018	1	1	2	1	5	4	5	4	3	4	2	1	1	5	5	5	6	5	0	3	6	2	2	3
(null)	N0.HOG0000019	0	2	1	1	4	6	4	5	4	4	6	1	1	4	4	4	4	4	1	4	6	2	2	2
(null)	N0.HOG0000020	1	9	1	7	10	18	18	18	13	12	13	7	8	10	10	10	10	10	9	11	18	7	7	7
(null)	N0.HOG0000021	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000022	0	3	1	0	1	2	1	2	1	2	1	0	0	1	1	1	1	1	0	1	1	0	0	0
(null)	N0.HOG0000023	0	1	0	1	5	3	2	3	3	2	2	1	1	4	4	4	4	5	1	4	3	2	2	2
(null)	N0.HOG0000024	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	1	1	1
(null)	N0.HOG0000025	0	6	2	1	3	4	6	6	4	4	5	1	2	5	5	4	4	5	2	4	6	2	2	2
(null)	N0.HOG0000026	1	10	0	1	3	5	7	8	4	4	7	1	1	4	4	4	3	4	1	4	8	4	3	3
(null)	N0.HOG0000027	0	3	0	1	4	4	6	6	3	3	4	1	1	4	4	4	4	4	1	3	5	3	3	3
(null)	N0.HOG0000028	21	2	4	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
(null)	N0.HOG0000029	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
(null)	N0.HOG0000030	0	20	0	11	12	15	22	19	12	12	21	12	12	16	16	15	14	17	13	8	13	5	6	7
(null)	N0.HOG0000031	2	34	1	0	5	11	12	11	26	18	16	0	0	10	10	13	13	12	0	10	12	14	19	8
(null)	N0.HOG0000032	1	52	0	0	0	1	2	1	1	1	1	0	0	0	0	0	3	0	0	1	0	3	0	0
(null)	N0.HOG0000033	0	0	0	0	10	63	43	12	18	10	7	0	0	22	15	15	26	5	0	32	29	0	4	4
(null)	N0.HOG0000034	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000035	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000036	1	0	0	7	12	21	19	19	11	11	19	8	10	20	18	18	15	15	12	12	18	15	9	10
(null)	N0.HOG0000037	0	0	0	3	11	46	38	0	6	5	19	1	0	16	18	22	27	11	0	25	38	0	6	11
(null)	N0.HOG0000038	0	0	0	4	4	6	7	4	4	4	5	4	4	4	4	4	4	4	4	4	5	3	4	3
(null)	N0.HOG0000039	5	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
(null)	N0.HOG0000040	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
(null)	N0.HOG0000041	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(null)	N0.HOG0000042	0	0	0	3	0	0	0	0	0	0	0	3	7	0	0	0	0	0	2	0	0	0	0	0
(null)	N0.HOG0000043	2	0	0	2	7	11	14	13	9	7	13	2	2	7	7	8	9	8	2	9	12	5	5	5
(null)	N0.HOG0000044	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000045	4	0	2	0	4	4	6	6	5	5	9	0	0	4	4	4	4	4	0	4	4	3	3	3
(null)	N0.HOG0000046	0	0	0	2	0	0	4	2	1	1	0	2	2	1	1	1	0	1	1	0	0	0	0	0
(null)	N0.HOG0000047	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
(null)	N0.HOG0000048	1	0	0	0	2	3	1	6	5	2	3	0	0	2	2	2	2	2	0	2	2	3	4	3
(null)	N0.HOG0000049	16	26	4	14	0	0	0	0	0	0	2	12	8	0	0	0	0	0	14	0	0	6	9	7
(null)	N0.HOG0000050	1	1	1	2	5	3	5	5	4	4	4	2	2	4	4	4	4	4	2	3	3	3	2	3
(null)	N0.HOG0000051	0	0	0	0	1	0	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000052	1	5	0	2	2	5	4	4	3	3	1	2	2	4	3	3	3	2	2	3	4	2	2	2
(null)	N0.HOG0000053	1	1	0	2	5	5	11	11	6	4	7	2	2	4	4	5	5	5	2	3	6	3	3	3
(null)	N0.HOG0000054	0	0	0	0	11	4	20	18	42	48	5	0	0	14	14	17	13	12	0	12	7	2	2	2
(null)	N0.HOG0000055	0	1	0	0	20	50	2	3	1	7	3	0	1	10	10	0	8	23	8	42	37	1	0	8
(null)	N0.HOG0000056	0	0	0	0	19	31	24	4	3	8	18	0	0	10	19	13	25	10	0	9	41	0	0	1
(null)	N0.HOG0000057	1	1	3	3	5	5	5	5	3	3	6	3	3	5	5	5	6	5	3	5	6	3	3	3
(null)	N0.HOG0000058	0	0	2	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1
(null)	N0.HOG0000059	1	4	0	1	5	9	5	6	3	3	3	1	1	7	7	8	7	8	1	8	7	4	4	3
(null)	N0.HOG0000060	1	1	3	1	1	1	3	2	2	2	3	1	2	2	2	1	2	2	2	1	0	1	1	1
