Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	147	100
OG0000001	91	62
OG0000002	82	61
OG0000003	122	108
OG0000004	199	185
OG0000005	139	63
OG0000006	79	66
OG0000007	157	99
OG0000008	69	57
OG0000009	118	105
OG0000010	55	42
OG0000011	138	128
OG0000012	119	59
OG0000013	98	40
OG0000014	41	28
OG0000015	40	29
OG0000016	54	43
OG0000017	57	51
OG0000018	44	34
OG0000019	39	22
OG0000020	40	38
OG0000021	37	35
OG0000022	69	61
OG0000023	72	62
OG0000024	98	88
OG0000025	124	109
OG0000026	91	89
OG0000027	56	50
OG0000028	80	48
OG0000029	66	36
OG0000030	27	23
OG0000031	32	28
OG0000032	85	59
OG0000033	83	75
OG0000034	50	44
OG0000035	54	19
OG0000036	33	25
OG0000037	32	27
OG0000038	36	30
OG0000039	88	77
OG0000040	29	21
OG0000041	93	85
OG0000042	30	27
OG0000043	123	115
OG0000044	41	36
OG0000045	45	38
OG0000046	29	26
OG0000047	60	53
OG0000048	79	76
OG0000049	31	19
OG0000050	26	20
OG0000051	76	55
OG0000052	49	41
OG0000053	57	54
OG0000054	38	31
OG0000055	59	55
OG0000056	56	52
OG0000057	127	127
OG0000058	20	12
OG0000059	31	21
OG0000060	18	13
OG0000061	90	77
OG0000062	51	42
OG0000063	43	39
OG0000064	36	30
OG0000065	17	16
OG0000066	27	24
OG0000067	29	26
OG0000068	32	25
OG0000069	24	23
OG0000070	44	42
OG0000071	54	27
OG0000072	28	20
OG0000073	21	12
OG0000074	51	47
OG0000075	23	17
OG0000076	26	21
OG0000077	29	25
OG0000078	46	42
OG0000079	19	18
OG0000080	35	29
OG0000081	19	19
OG0000082	26	23
OG0000083	26	18
OG0000084	26	23
OG0000085	33	28
OG0000086	16	14
OG0000087	25	20
OG0000088	33	30
OG0000089	23	18
OG0000090	21	18
OG0000091	16	13
OG0000092	25	23
OG0000093	31	28
OG0000094	22	17
OG0000095	29	17
OG0000096	20	16
OG0000097	16	9
OG0000098	52	47
OG0000099	14	11
OG0000100	27	21
OG0000101	22	20
OG0000102	28	28
OG0000103	18	14
OG0000104	43	43
OG0000105	22	20
OG0000106	24	21
OG0000107	16	12
OG0000108	19	16
OG0000109	23	17
OG0000110	16	11
OG0000111	16	13
OG0000112	22	18
OG0000113	15	14
OG0000114	30	23
OG0000115	89	81
OG0000116	24	18
OG0000117	21	12
OG0000118	27	23
OG0000119	45	38
OG0000120	62	60
OG0000121	12	8
OG0000122	28	20
OG0000123	95	95
OG0000124	18	17
OG0000125	14	6
OG0000126	23	17
OG0000127	17	15
OG0000128	16	13
OG0000129	19	14
OG0000130	18	15
OG0000131	16	12
OG0000132	21	15
OG0000133	17	15
OG0000134	65	55
OG0000135	44	34
OG0000136	24	17
OG0000137	24	21
OG0000138	11	7
OG0000139	16	14
OG0000140	17	12
OG0000141	13	10
OG0000142	19	13
OG0000143	24	20
OG0000144	30	23
OG0000145	21	19
OG0000146	20	19
OG0000147	17	12
OG0000148	28	26
OG0000149	17	14
OG0000150	20	17
OG0000151	57	41
OG0000152	93	93
OG0000153	14	11
OG0000154	18	17
OG0000155	20	16
OG0000156	52	45
OG0000157	17	13
OG0000158	24	20
OG0000159	31	27
OG0000160	20	13
OG0000161	24	18
OG0000162	32	26
OG0000163	25	24
OG0000164	36	30
OG0000165	41	15
OG0000166	18	13
OG0000167	30	26
OG0000168	17	17
OG0000169	42	38
OG0000170	21	19
OG0000171	62	52
OG0000172	43	39
OG0000173	32	29
OG0000174	17	15
