Number of species	24
Number of genes	276827
Number of genes in orthogroups	262276
Number of unassigned genes	14551
Percentage of genes in orthogroups	94.7
Percentage of unassigned genes	5.3
Number of orthogroups	17080
Number of species-specific orthogroups	2314
Number of genes in species-specific orthogroups	10792
Percentage of genes in species-specific orthogroups	3.9
Mean orthogroup size	15.4
Median orthogroup size	6.0
G50 (assigned genes)	27
G50 (all genes)	26
O50 (assigned genes)	2737
O50 (all genes)	3009
Number of orthogroups with all species present	2186
Number of single-copy orthogroups	353
Date	2024-03-18
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	12580	73.7	86876	33.1
'1	3608	21.1	107886	41.1
'2	577	3.4	32950	12.6
'3	170	1.0	13748	5.2
'4	70	0.4	7295	2.8
'5	29	0.2	3714	1.4
'6	18	0.1	2764	1.1
'7	11	0.1	1995	0.8
'8	3	0.0	601	0.2
'9	2	0.0	470	0.2
'10	2	0.0	492	0.2
11-15	8	0.0	2493	1.0
16-20	1	0.0	428	0.2
21-50	1	0.0	564	0.2
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	2314
2	2884
3	1603
4	2339
5	486
6	307
7	160
8	208
9	251
10	141
11	92
12	105
13	140
14	222
15	125
16	154
17	521
18	222
19	187
20	176
21	505
22	726
23	1026
24	2186
