	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
Number of genes	10534	10568	6600	12655	11004	13918	15695	12970	10716	10926	12728	12888	11371	11965	11825	11476	12378	11382	13441	10458	12831	9340	9523	9635
Number of genes in orthogroups	8144	9225	4826	12115	10734	13477	14705	12617	10354	10487	11787	12355	10731	11812	11700	11311	11864	11234	12428	10130	12404	9140	9332	9364
Number of unassigned genes	2390	1343	1774	540	270	441	990	353	362	439	941	533	640	153	125	165	514	148	1013	328	427	200	191	271
Percentage of genes in orthogroups	77.3	87.3	73.1	95.7	97.5	96.8	93.7	97.3	96.6	96.0	92.6	95.9	94.4	98.7	98.9	98.6	95.8	98.7	92.5	96.9	96.7	97.9	98.0	97.2
Percentage of unassigned genes	22.7	12.7	26.9	4.3	2.5	3.2	6.3	2.7	3.4	4.0	7.4	4.1	5.6	1.3	1.1	1.4	4.2	1.3	7.5	3.1	3.3	2.1	2.0	2.8
Number of orthogroups containing species	5157	4534	3643	8695	7034	6979	7197	6842	7074	7139	6681	8724	7479	7620	7589	7387	7272	7345	7662	6835	6824	7102	7133	7129
Percentage of orthogroups containing species	30.2	26.5	21.3	50.9	41.2	40.9	42.1	40.1	41.4	41.8	39.1	51.1	43.8	44.6	44.4	43.2	42.6	43.0	44.9	40.0	40.0	41.6	41.8	41.7
Number of species-specific orthogroups	464	430	161	28	50	54	113	36	45	63	170	55	88	29	13	16	100	25	189	41	72	19	22	31
Number of genes in species-specific orthogroups	1695	2993	508	91	195	194	459	168	265	206	836	156	367	78	38	45	439	103	1297	150	247	48	97	117
Percentage of genes in species-specific orthogroups	16.1	28.3	7.7	0.7	1.8	1.4	2.9	1.3	2.5	1.9	6.6	1.2	3.2	0.7	0.3	0.4	3.5	0.9	9.6	1.4	1.9	0.5	1.0	1.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	11923	12546	13437	8385	10046	10101	9883	10238	10006	9941	10399	8356	9601	9460	9491	9693	9808	9735	9418	10245	10256	9978	9947	9951
'1	4005	3433	2893	6765	4968	4012	3750	4020	5346	5264	4373	6751	5577	5383	5372	5222	4886	5217	5573	5094	4124	5758	5764	5732
'2	641	549	584	1425	1324	1752	1944	1643	1160	1263	1308	1406	1423	1389	1389	1382	1506	1359	1448	1151	1600	978	986	999
'3	209	181	91	251	418	555	689	534	289	308	491	275	232	436	420	408	442	404	284	313	513	227	215	234
'4	104	92	39	101	154	287	371	306	131	148	201	111	107	195	191	195	204	186	119	117	264	67	89	78
'5	55	62	13	50	65	116	163	130	58	70	106	67	43	86	96	65	82	62	58	54	122	32	26	26
'6	38	37	8	30	32	75	87	77	22	31	61	26	32	48	46	45	51	47	51	35	62	14	17	20
'7	20	25	3	18	28	56	63	34	17	14	50	18	12	29	24	23	27	16	20	15	41	13	13	11
'8	22	14	1	11	8	34	44	29	6	9	25	21	10	11	12	8	21	12	23	10	32	7	7	10
'9	14	20	0	11	8	21	25	17	7	6	14	13	11	8	7	5	10	8	16	9	14	0	6	6
'10	5	17	2	3	7	12	14	14	9	4	6	3	7	11	11	13	6	6	7	9	15	0	0	3
11-15	21	39	4	14	14	32	26	27	17	15	23	18	15	13	11	12	24	20	30	17	18	4	5	9
16-20	11	18	2	7	6	11	6	7	3	2	14	6	4	8	9	6	6	6	11	3	11	2	4	1
21-50	11	35	3	9	2	15	13	4	8	5	6	9	6	3	1	3	7	2	15	8	8	0	1	0
51-100	1	12	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0
101-150	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	69.8	73.5	78.7	49.1	58.8	59.1	57.9	59.9	58.6	58.2	60.9	48.9	56.2	55.4	55.6	56.8	57.4	57.0	55.1	60.0	60.0	58.4	58.2	58.3
'1	23.4	20.1	16.9	39.6	29.1	23.5	22.0	23.5	31.3	30.8	25.6	39.5	32.7	31.5	31.5	30.6	28.6	30.5	32.6	29.8	24.1	33.7	33.7	33.6
'2	3.8	3.2	3.4	8.3	7.8	10.3	11.4	9.6	6.8	7.4	7.7	8.2	8.3	8.1	8.1	8.1	8.8	8.0	8.5	6.7	9.4	5.7	5.8	5.8
'3	1.2	1.1	0.5	1.5	2.4	3.2	4.0	3.1	1.7	1.8	2.9	1.6	1.4	2.6	2.5	2.4	2.6	2.4	1.7	1.8	3.0	1.3	1.3	1.4
'4	0.6	0.5	0.2	0.6	0.9	1.7	2.2	1.8	0.8	0.9	1.2	0.6	0.6	1.1	1.1	1.1	1.2	1.1	0.7	0.7	1.5	0.4	0.5	0.5
