	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.pep	0.0	3701.0	3894.0	4554.0	4493.0	4490.0	4616.0	4584.0	4619.0	4629.0	4624.0	4570.0	4540.0	4632.0	4639.0	4628.0	4573.0	4655.0	4635.0	4490.0	4468.0	5037.0	5070.0	5110.0
ConCor.proteins	4606.0	0.0	3450.0	4860.0	4628.0	4577.0	4711.0	4653.0	4717.0	4742.0	4661.0	4844.0	4829.0	4726.0	4729.0	4728.0	4694.0	4728.0	4866.0	4582.0	4557.0	4877.0	4860.0	4867.0
SacCer.proteins	3917.0	3142.0	0.0	3654.0	3637.0	3615.0	3680.0	3666.0	3665.0	3657.0	3613.0	3645.0	3632.0	3663.0	3673.0	3659.0	3648.0	3676.0	3660.0	3615.0	3614.0	3746.0	3732.0	3709.0
ggMorZona1.proteins	5452.0	4990.0	4167.0	0.0	6368.0	6263.0	6423.0	6381.0	6417.0	6399.0	6343.0	11631.0	9490.0	6443.0	6453.0	6445.0	6360.0	6454.0	9627.0	6250.0	6236.0	6625.0	6656.0	6616.0
ggMucLanc1.proteins	5827.0	5337.0	4664.0	6841.0	0.0	8674.0	8401.0	8244.0	8139.0	8177.0	8215.0	6827.0	6835.0	9498.0	9437.0	9368.0	9396.0	9492.0	6896.0	8518.0	8451.0	7991.0	8010.0	7945.0
ggRhiOryz1.proteins	7033.0	6396.0	5575.0	8065.0	10778.0	0.0	10169.0	9838.0	9744.0	9829.0	9884.0	8057.0	8098.0	10955.0	10918.0	10731.0	10994.0	10850.0	8131.0	11159.0	11344.0	9551.0	9545.0	9558.0
gzAbsCyli1.proteins	7950.0	7190.0	6204.0	9177.0	10925.0	10611.0	0.0	12558.0	11891.0	11924.0	10894.0	9070.0	9038.0	11148.0	11111.0	11078.0	11098.0	11077.0	9163.0	10501.0	10454.0	10625.0	10639.0	10648.0
gzAbsGlau1.proteins	7210.0	6528.0	5662.0	8343.0	10166.0	9794.0	11925.0	0.0	11117.0	11129.0	10160.0	8334.0	8338.0	10453.0	10439.0	10388.0	10241.0	10456.0	8438.0	9784.0	9622.0	9885.0	9865.0	9814.0
gzCunBlak1.proteins	5581.0	5039.0	4332.0	6454.0	7826.0	7568.0	9014.0	8801.0	0.0	9471.0	7778.0	6455.0	6427.0	8061.0	8061.0	8010.0	7954.0	8077.0	6507.0	7511.0	7416.0	7642.0	7646.0	7616.0
gzCunEchi1.proteins	5628.0	5152.0	4385.0	6536.0	7877.0	7603.0	9047.0	8810.0	9445.0	0.0	7807.0	6543.0	6519.0	8095.0	8078.0	8045.0	7982.0	8095.0	6605.0	7554.0	7453.0	7695.0	7716.0	7718.0
gzLicCory1.proteins	6484.0	5709.0	4934.0	7358.0	9042.0	8705.0	9268.0	9066.0	8973.0	8945.0	0.0	7369.0	7314.0	9253.0	9281.0	9167.0	9129.0	9235.0	7421.0	8676.0	8564.0	8840.0	8837.0	8832.0
gzLinHyal1.proteins	5496.0	5014.0	4165.0	11759.0	6363.0	6268.0	6419.0	6380.0	6416.0	6397.0	6343.0	0.0	9586.0	6443.0	6453.0	6435.0	6366.0	6450.0	9719.0	6248.0	6232.0	6633.0	6680.0	6625.0
gzMorAlpi1.proteins	5447.0	4981.0	4166.0	9462.0	6314.0	6210.0	6381.0	6347.0	6376.0	6358.0	6300.0	9517.0	0.0	6397.0	6402.0	6381.0	6319.0	6395.0	9512.0	6220.0	6178.0	6626.0	6648.0	6601.0
gzMucCirc1.proteins	6207.0	5593.0	4857.0	7169.0	9676.0	8979.0	8815.0	8709.0	8569.0	8566.0	8680.0	7168.0	7155.0	0.0	11157.0	10792.0	9973.0	10558.0	7272.0	8872.0	8765.0	8467.0	8489.0	8408.0
gzMucCirc2.proteins	6209.0	5567.0	4848.0	7161.0	9564.0	8908.0	8778.0	8665.0	8546.0	8556.0	8673.0	7167.0	7151.0	11062.0	0.0	10668.0	9873.0	10478.0	7233.0	8803.0	8711.0	8443.0	8486.0	8416.0
gzMucFrag1.proteins	6181.0	5539.0	4820.0	7122.0	9456.0	8767.0	8686.0	8594.0	8483.0	8495.0	8572.0	7124.0	7083.0	10665.0	10632.0	0.0	9799.0	10361.0	7180.0	8699.0	8572.0	8385.0	8427.0	8355.0
