	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.pep	0.0	331.0	248.0	433.0	437.0	597.0	635.0	583.0	429.0	439.0	571.0	444.0	452.0	516.0	513.0	497.0	498.0	508.0	447.0	408.0	532.0	480.0	501.0	496.0
ConCor.proteins	508.0	0.0	293.0	811.0	706.0	835.0	902.0	887.0	701.0	677.0	809.0	795.0	851.0	757.0	757.0	723.0	766.0	762.0	804.0	601.0	767.0	626.0	601.0	625.0
SacCer.proteins	195.0	192.0	0.0	492.0	602.0	677.0	754.0	727.0	516.0	536.0	629.0	492.0	503.0	664.0	662.0	671.0	642.0	659.0	494.0	544.0	660.0	482.0	465.0	474.0
ggMorZona1.proteins	470.0	549.0	539.0	0.0	1512.0	1783.0	2008.0	1953.0	1279.0	1279.0	1643.0	222.0	491.0	1668.0	1658.0	1654.0	1648.0	1646.0	584.0	1259.0	1653.0	1119.0	1118.0	1149.0
ggMucLanc1.proteins	436.0	548.0	812.0	1694.0	0.0	458.0	1087.0	1024.0	410.0	412.0	834.0	1669.0	1755.0	155.0	155.0	143.0	196.0	148.0	1679.0	224.0	409.0	798.0	783.0	787.0
ggRhiOryz1.proteins	690.0	761.0	1078.0	2435.0	537.0	0.0	3147.0	2776.0	824.0	805.0	1944.0	2379.0	2474.0	676.0	673.0	636.0	607.0	663.0	2445.0	481.0	1054.0	1172.0	1142.0	1168.0
gzAbsCyli1.proteins	831.0	870.0	1270.0	2906.0	1288.0	3146.0	0.0	1790.0	477.0	434.0	2332.0	2878.0	2982.0	1409.0	1438.0	1396.0	1438.0	1429.0	2885.0	932.0	2745.0	1417.0	1357.0	1445.0
gzAbsGlau1.proteins	705.0	821.0	1190.0	2627.0	1199.0	2700.0	1739.0	0.0	443.0	458.0	2127.0	2610.0	2721.0	1343.0	1343.0	1304.0	1299.0	1343.0	2670.0	838.0	2431.0	1335.0	1281.0	1328.0
gzCunBlak1.proteins	474.0	520.0	641.0	1384.0	444.0	706.0	407.0	403.0	0.0	230.0	674.0	1378.0	1425.0	503.0	517.0	520.0	536.0	534.0	1415.0	382.0	666.0	767.0	780.0	780.0
gzCunEchi1.proteins	452.0	513.0	659.0	1383.0	432.0	684.0	370.0	384.0	225.0	0.0	636.0	1373.0	1428.0	458.0	458.0	474.0	485.0	484.0	1411.0	374.0	641.0	750.0	748.0	759.0
gzLicCory1.proteins	672.0	718.0	912.0	2101.0	952.0	1874.0	2245.0	2112.0	765.0	720.0	0.0	2089.0	2132.0	1059.0	1068.0	1039.0	1020.0	1050.0	2108.0	719.0	1668.0	1060.0	1062.0	1064.0
gzLinHyal1.proteins	487.0	561.0	537.0	251.0	1509.0	1777.0	2017.0	1943.0	1267.0	1267.0	1642.0	0.0	550.0	1673.0	1674.0	1637.0	1648.0	1648.0	633.0	1257.0	1646.0	1124.0	1124.0	1147.0
gzMorAlpi1.proteins	488.0	556.0	556.0	451.0	1560.0	1810.0	2055.0	1985.0	1292.0	1298.0	1648.0	492.0	0.0	1697.0	1692.0	1670.0	1679.0	1661.0	540.0	1272.0	1707.0	1152.0	1154.0	1179.0
gzMucCirc1.proteins	581.0	685.0	912.0	1924.0	175.0	596.0	1287.0	1234.0	510.0	490.0	982.0	1924.0	1981.0	0.0	108.0	136.0	255.0	154.0	1939.0	292.0	557.0	915.0	944.0	934.0
gzMucCirc2.proteins	579.0	664.0	903.0	1925.0	161.0	599.0	1310.0	1237.0	522.0	487.0	998.0	1937.0	1982.0	119.0	0.0	128.0	263.0	152.0	1925.0	279.0	554.0	899.0	928.0	929.0
gzMucFrag1.proteins	578.0	653.0	911.0	1888.0	153.0	552.0	1249.0	1197.0	521.0	507.0	968.0	1888.0	1947.0	125.0	129.0	0.0	238.0	102.0	1884.0	260.0	515.0	910.0	933.0	922.0
gzMucHiem1.proteins	567.0	655.0	867.0	1908.0	207.0	563.0	1281.0	1164.0	528.0	499.0	956.0	1871.0	1927.0	243.0	244.0	240.0	0.0	243.0	1870.0	275.0	502.0	871.0	878.0	878.0
gzMucPlum2.proteins	560.0	649.0	890.0	1883.0	174.0	570.0	1234.0	1195.0	498.0	478.0	947.0	1890.0	1939.0	162.0	155.0	99.0	225.0	0.0	1894.0	278.0	515.0	888.0	905.0	916.0
gzPodHuml1.proteins	534.0	590.0	553.0	677.0	1574.0	1852.0	2042.0	1975.0	1302.0	1318.0	1681.0	724.0	581.0	1735.0	1724.0	1695.0	1707.0	1713.0	0.0	1277.0	1722.0	1180.0	1168.0	1206.0
gzRhiMicr1.proteins	407.0	471.0	687.0	1389.0	232.0	351.0	745.0	716.0	372.0	357.0	603.0	1366.0	1383.0	277.0	266.0	268.0	259.0	294.0	1372.0	0.0	275.0	658.0	670.0	674.0
gzRhiStol1.proteins	622.0	700.0	1042.0	2235.0	456.0	1044.0	2683.0	2445.0	757.0	737.0	1722.0	2182.0	2297.0	598.0	612.0	567.0	574.0	552.0	2264.0	346.0	0.0	1074.0	1055.0	1082.0
gzUmbIsab1.proteins	413.0	431.0	536.0	1034.0	670.0	804.0	928.0	895.0	607.0	601.0	776.0	1031.0	1077.0	748.0	739.0	735.0	709.0	742.0	1076.0	587.0	767.0	0.0	137.0	111.0
gzUmbRama1.proteins	457.0	420.0	533.0	1058.0	667.0	772.0	879.0	846.0	598.0	585.0	769.0	1063.0	1096.0	746.0	738.0	738.0	706.0	744.0	1092.0	591.0	750.0	152.0	0.0	149.0
gzUmbVina1.proteins	419.0	411.0	531.0	1062.0	669.0	795.0	924.0	881.0	597.0	600.0	758.0	1050.0	1110.0	753.0	747.0	725.0	709.0	761.0	1103.0	586.0	779.0	111.0	130.0	0.0
