	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.pep	0.0	349.0	426.0	882.0	1042.0	1478.0	1780.0	1481.0	840.0	903.0	1116.0	885.0	907.0	1119.0	1127.0	1112.0	1166.0	1094.0	894.0	875.0	1324.0	700.0	683.0	689.0
ConCor.proteins	152.0	0.0	286.0	723.0	864.0	1256.0	1525.0	1254.0	667.0	733.0	894.0	722.0	747.0	927.0	921.0	924.0	961.0	914.0	717.0	696.0	1099.0	508.0	500.0	506.0
SacCer.proteins	207.0	238.0	0.0	566.0	698.0	1047.0	1245.0	983.0	532.0	573.0	705.0	562.0	584.0	730.0	732.0	715.0	764.0	715.0	575.0	551.0	903.0	416.0	404.0	398.0
ggMorZona1.proteins	171.0	250.0	216.0	0.0	713.0	1107.0	1393.0	1098.0	536.0	609.0	731.0	329.0	442.0	758.0	754.0	746.0	802.0	725.0	614.0	570.0	969.0	395.0	376.0	385.0
ggMucLanc1.proteins	162.0	210.0	159.0	520.0	0.0	2051.0	2339.0	1949.0	313.0	369.0	1041.0	510.0	525.0	277.0	244.0	217.0	280.0	179.0	516.0	193.0	1690.0	255.0	229.0	243.0
ggRhiOryz1.proteins	121.0	173.0	123.0	389.0	246.0	0.0	1420.0	1163.0	211.0	261.0	584.0	378.0	386.0	317.0	304.0	280.0	329.0	252.0	369.0	135.0	574.0	192.0	183.0	190.0
gzAbsCyli1.proteins	128.0	163.0	95.0	302.0	340.0	940.0	0.0	834.0	133.0	170.0	511.0	290.0	303.0	436.0	412.0	402.0	423.0	385.0	307.0	247.0	804.0	168.0	157.0	159.0
gzAbsGlau1.proteins	130.0	162.0	109.0	323.0	352.0	1050.0	1260.0	0.0	139.0	167.0	565.0	314.0	334.0	443.0	430.0	415.0	431.0	390.0	324.0	251.0	865.0	174.0	167.0	175.0
gzCunBlak1.proteins	194.0	243.0	202.0	635.0	654.0	1906.0	2779.0	2370.0	0.0	196.0	1157.0	625.0	656.0	788.0	776.0	751.0	778.0	725.0	624.0	423.0	1626.0	308.0	282.0	305.0
gzCunEchi1.proteins	199.0	241.0	194.0	634.0	669.0	1918.0	2774.0	2359.0	178.0	0.0	1156.0	625.0	647.0	787.0	785.0	754.0	777.0	731.0	619.0	443.0	1620.0	316.0	290.0	314.0
gzLicCory1.proteins	155.0	194.0	149.0	470.0	535.0	1501.0	1912.0	1572.0	296.0	362.0	0.0	453.0	490.0	653.0	633.0	618.0	670.0	595.0	465.0	351.0	1245.0	227.0	204.0	225.0
gzLinHyal1.proteins	167.0	245.0	216.0	293.0	715.0	1110.0	1386.0	1102.0	541.0	617.0	739.0	0.0	433.0	760.0	752.0	751.0	802.0	727.0	600.0	567.0	978.0	396.0	373.0	389.0
gzMorAlpi1.proteins	173.0	237.0	213.0	403.0	683.0	1078.0	1345.0	1065.0	521.0	595.0	712.0	399.0	0.0	728.0	728.0	725.0	775.0	700.0	589.0	548.0	942.0	380.0	362.0	371.0
gzMucCirc1.proteins	158.0	200.0	134.0	478.0	170.0	2046.0	2341.0	1942.0	317.0	376.0	1022.0	464.0	489.0	0.0	124.0	128.0	256.0	114.0	472.0	175.0	1680.0	240.0	212.0	225.0
gzMucCirc2.proteins	162.0	200.0	137.0	482.0	159.0	2052.0	2324.0	1946.0	311.0	376.0	1030.0	465.0	489.0	210.0	0.0	117.0	246.0	115.0	477.0	175.0	1680.0	245.0	224.0	236.0
gzMucFrag1.proteins	163.0	213.0	130.0	485.0	167.0	2033.0	2344.0	1959.0	307.0	373.0	1024.0	475.0	494.0	217.0	140.0	0.0	248.0	126.0	482.0	154.0	1685.0	245.0	219.0	233.0
gzMucHiem1.proteins	156.0	207.0	147.0	474.0	217.0	2052.0	2305.0	1930.0	307.0	364.0	1015.0	464.0	483.0	309.0	260.0	250.0	0.0	198.0	468.0	188.0	1686.0	259.0	235.0	244.0
gzMucPlum2.proteins	163.0	209.0	137.0	487.0	174.0	2045.0	2331.0	1954.0	308.0	371.0	1026.0	477.0	497.0	254.0	194.0	177.0	249.0	0.0	479.0	161.0	1690.0	239.0	218.0	224.0
gzPodHuml1.proteins	181.0	246.0	215.0	519.0	727.0	1115.0	1418.0	1122.0	541.0	616.0	753.0	505.0	509.0	780.0	776.0	771.0	824.0	738.0	0.0	573.0	978.0	400.0	381.0	389.0
gzRhiMicr1.proteins	180.0	236.0	186.0	613.0	354.0	1982.0	2394.0	2019.0	344.0	399.0	1094.0	598.0	635.0	470.0	447.0	412.0	454.0	396.0	598.0	0.0	1577.0	292.0	266.0	285.0
gzRhiStol1.proteins	140.0	187.0	133.0	429.0	261.0	1035.0	1560.0	1250.0	210.0	258.0	634.0	423.0	427.0	322.0	310.0	281.0	352.0	264.0	413.0	152.0	0.0	200.0	181.0	182.0
gzUmbIsab1.proteins	267.0	271.0	231.0	764.0	1061.0	1927.0	2352.0	1990.0	737.0	821.0	1282.0	752.0	785.0	1208.0	1210.0	1183.0	1216.0	1167.0	768.0	733.0	1633.0	0.0	181.0	184.0
gzUmbRama1.proteins	265.0	277.0	235.0	766.0	1063.0	1948.0	2378.0	2007.0	733.0	824.0	1285.0	750.0	788.0	1215.0	1216.0	1191.0	1234.0	1179.0	763.0	741.0	1648.0	198.0	0.0	159.0
gzUmbVina1.proteins	277.0	272.0	230.0	754.0	1050.0	1927.0	2344.0	1988.0	741.0	835.0	1307.0	742.0	771.0	1209.0	1206.0	1181.0	1208.0	1159.0	754.0	744.0	1634.0	204.0	158.0	0.0
