HOG	OG	Gene Tree Parent Clade	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
N13.HOG0000000	OG0000000	n36						GGRHOR1EN_005718, GGRHOR1EN_000999														GZRHMI1EN_009360	GZRHST1EN_002978			
N13.HOG0000001	OG0000000	n39						GGRHOR1EN_003096, GGRHOR1EN_005369														GZRHMI1EN_006249	GZRHST1EN_007559, GZRHST1EN_010609			
N13.HOG0000002	OG0000000	n43						GGRHOR1EN_011492														GZRHMI1EN_005750	GZRHST1EN_006827			
N13.HOG0000003	OG0000000	n48						GGRHOR1EN_000535, GGRHOR1EN_008541														GZRHMI1EN_008364	GZRHST1EN_003002			
N13.HOG0000004	OG0000000	n82						GGRHOR1EN_012655, GGRHOR1EN_012483														GZRHMI1EN_001067	GZRHST1EN_009533			
N13.HOG0000005	OG0000000	n111						GGRHOR1EN_001099														GZRHMI1EN_010163	GZRHST1EN_007662			
N13.HOG0000006	OG0000000	n138						GGRHOR1EN_006870, GGRHOR1EN_008253														GZRHMI1EN_008391	GZRHST1EN_003752			
N13.HOG0000007	OG0000000	n151						GGRHOR1EN_013833, GGRHOR1EN_005561														GZRHMI1EN_009210	GZRHST1EN_005001, GZRHST1EN_011791			
N13.HOG0000008	OG0000000	n184						GGRHOR1EN_009504, GGRHOR1EN_007114														GZRHMI1EN_001931	GZRHST1EN_008056, GZRHST1EN_011655			
N13.HOG0000009	OG0000000	n210						GGRHOR1EN_009717														GZRHMI1EN_003777				
N13.HOG0000010	OG0000000	n238						GGRHOR1EN_013363, GGRHOR1EN_007745														GZRHMI1EN_000988	GZRHST1EN_002676, GZRHST1EN_012406			
N13.HOG0000011	OG0000000	n248						GGRHOR1EN_004156, GGRHOR1EN_006581														GZRHMI1EN_006976, GZRHMI1EN_006147	GZRHST1EN_001963, GZRHST1EN_008381			
N13.HOG0000012	OG0000000	n271						GGRHOR1EN_004657														GZRHMI1EN_007379	GZRHST1EN_004164			
N13.HOG0000013	OG0000000	n287						GGRHOR1EN_009366, GGRHOR1EN_013255														GZRHMI1EN_008866	GZRHST1EN_000777			
N13.HOG0000014	OG0000000	n310						GGRHOR1EN_004821															GZRHST1EN_012681			
N13.HOG0000015	OG0000000	n315						GGRHOR1EN_004253, GGRHOR1EN_008773														GZRHMI1EN_004748	GZRHST1EN_009449, GZRHST1EN_002024			
N13.HOG0000016	OG0000000	n343						GGRHOR1EN_000328, GGRHOR1EN_000879														GZRHMI1EN_008992	GZRHST1EN_009315, GZRHST1EN_009638			
N13.HOG0000017	OG0000000	n432						GGRHOR1EN_000475														GZRHMI1EN_008381	GZRHST1EN_008177			
N13.HOG0000018	OG0000000	n435						GGRHOR1EN_001427, GGRHOR1EN_009942														GZRHMI1EN_010048	GZRHST1EN_002719, GZRHST1EN_010206			
N13.HOG0000019	OG0000000	n446						GGRHOR1EN_003308														GZRHMI1EN_005660	GZRHST1EN_001078			
N13.HOG0000020	OG0000000	n482						GGRHOR1EN_011948														GZRHMI1EN_002604	GZRHST1EN_006608, GZRHST1EN_001102			
N13.HOG0000021	OG0000000	n516						GGRHOR1EN_001514														GZRHMI1EN_010120				
N13.HOG0000022	OG0000000	n520						GGRHOR1EN_003003, GGRHOR1EN_009609														GZRHMI1EN_008113	GZRHST1EN_007509, GZRHST1EN_002227			
N13.HOG0000023	OG0000001	n2						GGRHOR1EN_010616, GGRHOR1EN_004602														GZRHMI1EN_000620	GZRHST1EN_008717, GZRHST1EN_13100			
N13.HOG0000024	OG0000001	n44						GGRHOR1EN_012525														GZRHMI1EN_002129	GZRHST1EN_009260, GZRHST1EN_003019			
N13.HOG0000025	OG0000001	n68						GGRHOR1EN_009783														GZRHMI1EN_009663	GZRHST1EN_000707, GZRHST1EN_012015			
N13.HOG0000026	OG0000001	n102						GGRHOR1EN_001489, GGRHOR1EN_008098														GZRHMI1EN_008743	GZRHST1EN_008932, GZRHST1EN_002396			
N13.HOG0000027	OG0000001	n122						GGRHOR1EN_002900														GZRHMI1EN_004275	GZRHST1EN_008675, GZRHST1EN_006792			
N13.HOG0000028	OG0000001	n142						GGRHOR1EN_004262														GZRHMI1EN_004642	GZRHST1EN_002349			
N13.HOG0000029	OG0000001	n151						GGRHOR1EN_009465, GGRHOR1EN_005943														GZRHMI1EN_003289	GZRHST1EN_007988, GZRHST1EN_000839			
N13.HOG0000030	OG0000001	n169						GGRHOR1EN_003843, GGRHOR1EN_010453														GZRHMI1EN_009954	GZRHST1EN_003281			
N13.HOG0000031	OG0000001	n195						GGRHOR1EN_007606, GGRHOR1EN_004044														GZRHMI1EN_000703	GZRHST1EN_000925, GZRHST1EN_001425			
N13.HOG0000032	OG0000001	n227						GGRHOR1EN_010949														GZRHMI1EN_002315	GZRHST1EN_009714			
N13.HOG0000033	OG0000001	n234						GGRHOR1EN_006130														GZRHMI1EN_009748	GZRHST1EN_007958, GZRHST1EN_000889			
N13.HOG0000034	OG0000001	n277						GGRHOR1EN_004633, GGRHOR1EN_004998														GZRHMI1EN_004442	GZRHST1EN_000392, GZRHST1EN_002880			
N13.HOG0000035	OG0000001	n293						GGRHOR1EN_007827														GZRHMI1EN_000891	GZRHST1EN_009779			
N13.HOG0000036	OG0000001	n302						GGRHOR1EN_003871, GGRHOR1EN_004216														GZRHMI1EN_000541	GZRHST1EN_009115, GZRHST1EN_003239			
N13.HOG0000037	OG0000001	n327						GGRHOR1EN_010972, GGRHOR1EN_005282														GZRHMI1EN_006787	GZRHST1EN_004766			
N13.HOG0000038	OG0000001	n349																				GZRHMI1EN_009662	GZRHST1EN_008237, GZRHST1EN_009713			
N13.HOG0000039	OG0000001	n363						GGRHOR1EN_008434, GGRHOR1EN_000490														GZRHMI1EN_005199	GZRHST1EN_003877			
N13.HOG0000040	OG0000001	n407						GGRHOR1EN_011888, GGRHOR1EN_002305														GZRHMI1EN_002779	GZRHST1EN_006617, GZRHST1EN_011265			
N13.HOG0000041	OG0000001	n423						GGRHOR1EN_14088, GGRHOR1EN_010014														GZRHMI1EN_000063	GZRHST1EN_009967			
N13.HOG0000042	OG0000002	n6						GGRHOR1EN_006791, GGRHOR1EN_011949														GZRHMI1EN_002606	GZRHST1EN_006607			
N13.HOG0000043	OG0000002	n27																				GZRHMI1EN_000398				
N13.HOG0000044	OG0000002	n46						GGRHOR1EN_002220														GZRHMI1EN_003971	GZRHST1EN_012216			
N13.HOG0000045	OG0000002	n54						GGRHOR1EN_009715														GZRHMI1EN_003829	GZRHST1EN_000480			
N13.HOG0000046	OG0000002	n62						GGRHOR1EN_008702														GZRHMI1EN_009936	GZRHST1EN_012380			
N13.HOG0000047	OG0000002	n127						GGRHOR1EN_010057														GZRHMI1EN_005301	GZRHST1EN_010155, GZRHST1EN_004072			
N13.HOG0000048	OG0000002	n156						GGRHOR1EN_009150, GGRHOR1EN_013007														GZRHMI1EN_006934	GZRHST1EN_003184, GZRHST1EN_000230			
