	AspNid.pep	ConCor.proteins	SacCer.proteins	ggMorZona1.proteins	ggMucLanc1.proteins	ggRhiOryz1.proteins	gzAbsCyli1.proteins	gzAbsGlau1.proteins	gzCunBlak1.proteins	gzCunEchi1.proteins	gzLicCory1.proteins	gzLinHyal1.proteins	gzMorAlpi1.proteins	gzMucCirc1.proteins	gzMucCirc2.proteins	gzMucFrag1.proteins	gzMucHiem1.proteins	gzMucPlum2.proteins	gzPodHuml1.proteins	gzRhiMicr1.proteins	gzRhiStol1.proteins	gzUmbIsab1.proteins	gzUmbRama1.proteins	gzUmbVina1.proteins
AspNid.pep	0.0	2642.0	2577.0	2798.0	2583.0	2106.0	1883.0	2174.0	2832.0	2745.0	2526.0	2800.0	2750.0	2558.0	2551.0	2563.0	2470.0	2588.0	2806.0	2713.0	2234.0	3116.0	3160.0	3133.0
ConCor.proteins	2642.0	0.0	2095.0	2610.0	2406.0	1990.0	1804.0	2047.0	2639.0	2583.0	2380.0	2613.0	2552.0	2373.0	2388.0	2371.0	2307.0	2400.0	2632.0	2535.0	2136.0	2825.0	2821.0	2795.0
SacCer.proteins	2577.0	2095.0	0.0	2123.0	1978.0	1612.0	1462.0	1710.0	2165.0	2109.0	1955.0	2120.0	2079.0	1968.0	1968.0	1977.0	1909.0	1989.0	2117.0	2100.0	1745.0	2321.0	2330.0	2312.0
ggMorZona1.proteins	2798.0	2610.0	2123.0	0.0	2954.0	2482.0	2324.0	2595.0	3159.0	3074.0	2917.0	10374.0	7586.0	2947.0	2952.0	2954.0	2851.0	2982.0	7252.0	3028.0	2605.0	3381.0	3417.0	3375.0
ggMucLanc1.proteins	2583.0	2406.0	1978.0	2954.0	0.0	5604.0	4224.0	4500.0	6028.0	5960.0	5217.0	2964.0	2921.0	8668.0	8670.0	8629.0	8407.0	8753.0	2982.0	7326.0	5768.0	4653.0	4706.0	4629.0
ggRhiOryz1.proteins	2106.0	1990.0	1612.0	2482.0	5604.0	0.0	3461.0	3588.0	4489.0	4434.0	4025.0	2500.0	2454.0	5618.0	5586.0	5560.0	5665.0	5637.0	2520.0	6286.0	7490.0	3664.0	3676.0	3646.0
gzAbsCyli1.proteins	1883.0	1804.0	1462.0	2324.0	4224.0	3461.0	0.0	7145.0	5419.0	5463.0	3911.0	2347.0	2305.0	4218.0	4242.0	4212.0	4222.0	4272.0	2348.0	4112.0	3502.0	3425.0	3441.0	3399.0
gzAbsGlau1.proteins	2174.0	2047.0	1710.0	2595.0	4500.0	3588.0	7145.0	0.0	5659.0	5646.0	4130.0	2606.0	2562.0	4553.0	4547.0	4527.0	4440.0	4611.0	2614.0	4357.0	3699.0	3740.0	3755.0	3682.0
gzCunBlak1.proteins	2832.0	2639.0	2165.0	3159.0	6028.0	4489.0	5419.0	5659.0	0.0	8564.0	5302.0	3174.0	3110.0	6052.0	6062.0	6054.0	5963.0	6123.0	3210.0	5930.0	4664.0	4935.0	4988.0	4891.0
gzCunEchi1.proteins	2745.0	2583.0	2109.0	3074.0	5960.0	4434.0	5463.0	5646.0	8564.0	0.0	5254.0	3089.0	3038.0	5984.0	5982.0	5986.0	5928.0	6057.0	3126.0	5865.0	4625.0	4843.0	4877.0	4805.0
gzLicCory1.proteins	2526.0	2380.0	1955.0	2917.0	5217.0	4025.0	3911.0	4130.0	5302.0	5254.0	0.0	2940.0	2868.0	5253.0	5279.0	5233.0	5153.0	5302.0	2946.0	5141.0	4196.0	4465.0	4486.0	4392.0
gzLinHyal1.proteins	2800.0	2613.0	2120.0	10374.0	2964.0	2500.0	2347.0	2606.0	3174.0	3089.0	2940.0	0.0	7619.0	2961.0	2974.0	2963.0	2869.0	2996.0	7264.0	3049.0	2611.0	3408.0	3447.0	3395.0
gzMorAlpi1.proteins	2750.0	2552.0	2079.0	7586.0	2921.0	2454.0	2305.0	2562.0	3110.0	3038.0	2868.0	7619.0	0.0	2916.0	2925.0	2913.0	2817.0	2948.0	7205.0	2983.0	2570.0	3341.0	3370.0	3324.0
gzMucCirc1.proteins	2558.0	2373.0	1968.0	2947.0	8668.0	5618.0	4218.0	4553.0	6052.0	5984.0	5253.0	2961.0	2916.0	0.0	10458.0	10012.0	8761.0	9717.0	2980.0	7372.0	5808.0	4618.0	4667.0	4585.0
gzMucCirc2.proteins	2551.0	2388.0	1968.0	2952.0	8670.0	5586.0	4242.0	4547.0	6062.0	5982.0	5279.0	2974.0	2925.0	10458.0	0.0	10076.0	8774.0	9762.0	2980.0	7377.0	5773.0	4616.0	4666.0	4587.0
gzMucFrag1.proteins	2563.0	2371.0	1977.0	2954.0	8629.0	5560.0	4212.0	4527.0	6054.0	5986.0	5233.0	2963.0	2913.0	10012.0	10076.0	0.0	8739.0	9709.0	2978.0	7369.0	5760.0	4626.0	4671.0	4598.0
